racine,forme,traduction,nom_categ,nom_type
abu-abu,,gris,Couleurs,Adjectif
adik,,petit frère / petite sœur,Famille & Personnes,Nom
air,,eau,"Fruits, Légumes & Boissons",Nom
ajar,mengajar / diajar / pelajaran,enseigner / être enseigné / leçon,"Travail, Études & École",Verbe
alis,,sourcils,Corps & Sens,Nom
ambil,mengambil / diambil,prendre / être pris,Commerce & Argent,Verbe
anak,,enfant,Famille & Personnes,Nom
aneh,,bizarre,Qualité générale & Jugement,Adjectif
anggur,,raisin,"Fruits, Légumes & Boissons",Nom
angin,,vent,"Nature, Météo & Temps",Nom
apa,,"que, quoi",Mots interrogatifs,Mot-outil
asam,,acide,Plats & Saveurs,Adjectif
asik,,"sympa, fun",Traits de personnalité,Adjectif
asin,,salé,Plats & Saveurs,Adjectif
atau,,ou,Connecteurs & Liaison,Mot-outil
atur,mengatur / diatur / peraturan,"organiser, régler / être réglé / règlement","Travail, Études & École",Verbe
awan,,nuage,"Nature, Météo & Temps",Nom
ayam,,poulet,Plats & Saveurs,Nom
baca,membaca / dibaca / bacaan,lire / être lu / lecture,Communication,Verbe
bagaimana,,comment,Mots interrogatifs,Mot-outil
bagus,,bien / beau (objet),Qualité générale & Jugement,Adjectif
baik,,gentil,Traits de personnalité,Adjectif
baju,,chemise / vêtement,Vêtements & Accessoires,Nom
bandara,,aéroport,Ville & Lieux,Nom
bangun,bangun / membangunkan / terbangun,"se réveiller, se lever / réveiller qqn / se réveiller (soudain)",Routine quotidienne,Verbe
bantal,,oreiller,Maison & Vie pratique,Nom
bantu,membantu / dibantu / bantuan,aider / être aidé / aide,"Travail, Études & École",Verbe
bapak,,père,Famille & Personnes,Nom
baperan,,susceptible,Traits de personnalité,Adjectif
baru,,neuf,Qualité générale & Jugement,Adjectif
basah,,mouillé,Qualité générale & Jugement,Adjectif
bau,bau / membaui / berbau,sentir (odeur) / dégager une odeur,Corps & Sens,Verbe
bawa,membawa / dibawa / membawakan,"transporter, apporter / être transporté / apporter pour qqn",Commerce & Argent,Verbe
bawang,,oignon,"Fruits, Légumes & Boissons",Nom
bayar,membayar / dibayar / pembayaran,payer / être payé / paiement,Commerce & Argent,Verbe
bayi,,bébé,Famille & Personnes,Nom
belajar,belajar / mempelajari,étudier / étudier en profondeur,"Travail, Études & École",Verbe
beli,membeli / dibeli / pembelian,acheter / être acheté / achat,Commerce & Argent,Verbe
benci,membenci / dibenci,détester / être détesté,Émotions & Relations,Verbe
berantakan,,désordonné,Qualité générale & Jugement,Adjectif
berapa,,combien,Mots interrogatifs,Mot-outil
berat,,lourd,Taille & Dimensions,Adjectif
berdiri,berdiri,"se lever, être debout",Routine quotidienne,Verbe
bernafas,bernafas / menghirup,respirer / inhaler,Routine quotidienne,Verbe
bersih,membersihkan / dibersihkan,nettoyer / être nettoyé,Maison & Vie pratique,Verbe
besar,,grand,Taille & Dimensions,Adjectif
besok,,demain,"Nature, Météo & Temps",Nom
bicara,bicara / berbicara / membicarakan,parler / parler de quelque chose,Communication,Verbe
bintang,,étoile,"Nature, Météo & Temps",Nom
bir,,bière,"Fruits, Légumes & Boissons",Nom
biru,,bleu,Couleurs,Adjectif
bisa,bisa / kemampuan,"pouvoir, savoir faire / capacité",Mental & Cognition,Verbe
bosan,,ennuyé,États physiques & émotionnels,Adjectif
buah,,fruit,"Fruits, Légumes & Boissons",Nom
buang,membuang / dibuang,jeter / être jeté,Maison & Vie pratique,Verbe
buat,membuat / dibuatkan,"faire, fabriquer / faire pour qqn","Travail, Études & École",Verbe
bubur,,bouillie / porridge,Plats & Saveurs,Nom
buka,membuka / dibuka / membukakan / terbuka,ouvrir / être ouvert / ouvrir pour qqn / ouvert (état),Maison & Vie pratique,Verbe
buku,,livre,"Travail, Études & École",Nom
bulan,,lune,"Nature, Météo & Temps",Nom
bulan,,mois,"Nature, Météo & Temps",Nom
bumbu,,épices / assaisonnement,Plats & Saveurs,Nom
bunga,,fleur,"Nature, Météo & Temps",Nom
cabai,,piment,"Fruits, Légumes & Boissons",Nom
cantik,,belle,Traits de personnalité,Adjectif
capek,,fatigué,États physiques & émotionnels,Adjectif
cari,mencari / dicari / pencarian,chercher / être cherché / recherche,"Travail, Études & École",Verbe
celana,,pantalon,Vêtements & Accessoires,Nom
cepat,,rapide,Qualité générale & Jugement,Adjectif
cerewet,,"bavard, chiant",Traits de personnalité,Adjectif
cerita,bercerita / menceritakan,"raconter, narrer / raconter qqch à qqn",Communication,Verbe
cewek,,meuf,Famille & Personnes,Nom
cinta,mencintai / dicintai / cinta,aimer (qqn) / être aimé / amour,Émotions & Relations,Verbe
cium,mencium / dicium,embrasser / sentir (odeur) / être embrassé,Corps & Sens,Verbe
coba,mencoba / dicoba / percobaan,essayer / être essayé / tentative,Mental & Cognition,Verbe
cokelat,,chocolat,Plats & Saveurs,Nom
cokelat,,marron,Couleurs,Adjectif
cowok,,mec,Famille & Personnes,Nom
cuci,mencuci / dicuci / cucian,laver / être lavé / lessive,Maison & Vie pratique,Verbe
cucu,,petit-enfant,Famille & Personnes,Nom
cuka,,vinaigre,Plats & Saveurs,Nom
daging,,viande,Plats & Saveurs,Nom
dan,,et,Connecteurs & Liaison,Mot-outil
dapur,,cuisine,Maison & Vie pratique,Nom
dari,,"de, depuis, à partir de",Connecteurs & Liaison,Mot-outil
datang,datang / mendatangi,venir / se rendre chez qqn,Déplacement,Verbe
deg-degan,,"palpitations (nervosité, excitation)",États physiques & émotionnels,Adjectif
demam,,fiévreux,États physiques & émotionnels,Adjectif
dengar,dengar / mendengar / mendengarkan,entendre / écouter attentivement,Corps & Sens,Verbe
depan,,prochain / devant (espace),"Nature, Météo & Temps",Nom
detik,,seconde,"Nature, Météo & Temps",Nom
di mana,,où (position),Mots interrogatifs,Mot-outil
dingin,,froid,Qualité générale & Jugement,Adjectif
diskon,,réduction,Commerce & Argent,Nom
duduk,duduk / mendudukkan,s'asseoir / faire asseoir,Routine quotidienne,Verbe
duit,uang,argent,Commerce & Argent,Nom
egois,,égoïste,Traits de personnalité,Adjectif
enak,,"bon, agréable au goût",Plats & Saveurs,Adjectif
galak,,"sévère, méchant",Traits de personnalité,Adjectif
gampang,,facile,Qualité générale & Jugement,Adjectif
ganteng,,beau (pour un homme),Traits de personnalité,Adjectif
garam,,sel,Plats & Saveurs,Nom
gaul,,"branché, sociable",Traits de personnalité,Adjectif
gelap,,sombre,Qualité générale & Jugement,Adjectif
gigi,,dent,Corps & Sens,Nom
grogi,,"nerveux, intimidé",États physiques & émotionnels,Adjectif
gula,,sucre,Plats & Saveurs,Nom
gunung,,montagne,"Nature, Météo & Temps",Nom
handuk,,serviette,Maison & Vie pratique,Nom
harap,berharap / mengharapkan,espérer / espérer qqch,Émotions & Relations,Verbe
harga,,prix,Commerce & Argent,Nom
hari,,jour,"Nature, Météo & Temps",Nom
hari ini,,aujourd'hui,"Nature, Météo & Temps",Nom
haus,,assoiffé,États physiques & émotionnels,Adjectif
hemat,menghemat / berhemat,écoNomiser / faire des écoNomies,Commerce & Argent,Verbe
hidung,,nez,Corps & Sens,Nom
hijau,,vert,Couleurs,Adjectif
hitam,,noir,Couleurs,Adjectif
hitung,menghitung / dihitung / perhitungan,"compter, calculer / être calculé / calcul","Travail, Études & École",Verbe
hujan,,pluie,"Nature, Météo & Temps",Nom
ibu,,mère,Famille & Personnes,Nom
ikan,,poisson,Plats & Saveurs,Nom
ingat,ingat / mengingat / teringat,se souvenir / se rappeler / se souvenir soudainement,Mental & Cognition,Verbe
ipar,,beau-frère / belle-sœur,Famille & Personnes,Nom
istri,,épouse,Famille & Personnes,Nom
izin,meminta izin / diizinkan,demander permission / être autorisé,Communication,Verbe
jadi,maka,donc,Connecteurs & Liaison,Mot-outil
jahe,,gingembre,"Fruits, Légumes & Boissons",Nom
jaket,,veste,Vêtements & Accessoires,Nom
jalan,jalan / berjalan / berjalan-jalan,marcher / se promener,Déplacement,Verbe
jalan,,rue,Ville & Lieux,Nom
jam,,heure,"Nature, Météo & Temps",Nom
jam tangan,,montre,Vêtements & Accessoires,Nom
jawab,menjawab / dijawab,répondre / être répondu,Communication,Verbe
jelek,,"moche, nul",Qualité générale & Jugement,Adjectif
jendela,,fenêtre,Maison & Vie pratique,Nom
jual,menjual / dijual / penjual,vendre / être vendu / vendeur,Commerce & Argent,Verbe
jujur,,honnête,Traits de personnalité,Adjectif
Jumat,,vendredi,"Nature, Météo & Temps",Nom
jutek,,"froid, désagréable",Traits de personnalité,Adjectif
kacamata,,lunettes,Vêtements & Accessoires,Nom
